toegangsnummer,titel
706,Comité Benelux-Amsterdam
710,Sociaal Wijkopbouworgaan Landlust-Bos en Lommer
712,Familie en de Firma Vettewinkel
713,Families Graf von Westerholt
714,Nederlands Israëlietische Hoofdsynagoge
715,Vereeniging Eigen Hulp
728,Familie Dedel
729,Familie Wertheim
734,Boldoot - van Vlijmen
735,Firma Hope & Co
736,Mr. Dr. Benno J. Stokvis
738,Corvershof
740,Begijnhof
741,Johannes Kramer
742,rchief van Dr. J.W. Ijzerman
743,Gereformeerde Kerk te Amsterdam-Centrum
744,De Volharding Exploitatie Onroerende Goederen
745,Marktwezen
746,G. Schaling
747,Burger Oude-Vrouwenhuis Gesticht Vredenburgh
748,Associatie-Cassa
750,Vereeniging Amsterdamsche Wijkverpleging
754,Oldewelt
755,"Amsterdamsche Huishoudschool, Nieuwe Huishoudschool"
758,Societas Reformatrum Amstelodamensis
759,Vereniging Boddaert-Tehuizen
761,Hervormde Gemeente te Holysloot
762,Hervormde Gemeente te Ransdorp
763,Hervormde Gemeente te Zunderdorp
764,Familie Gildemeester
767,Sint Ceciliacollege
770,Dr. Isabella H. van Eeghen
771,Vereniging De Vrije Gemeente
772,Familie Ihle
773,Familie Westermann
774,Parochie Heilige Petrus en Paulus
775,Scheepswerf G. de Vries Lentsch en Werf Het Fort
777,Barendina M. Bijtelaar
778,"Boek-, Kantoorboek- en Papierhandel J. Vlieger"
779,Familie Waller
783,Schilderspatroonsvereniging 'Amsterdam'
788,Familie Teixeira d'Andrade
792,Restauratiecommissie Nieuwe Kerk
793,Nederlandse Hervormde Gemeente te Amsterdam-Sloten
794,Verkooplokaal Frascati
797,UvA: Wetenschappelijke Staf
800,Eerste Openbare Handelsschool
801,Cargadoors Vinke & Co.
802,"Studentenvereniging, Human. Grondslag Socrates"
805,Ir. Lely-Lyceum
807,Familie Kruseman
809,Familie Marlof
810, Familie Van Eijk en Aanverwante Families
811,Oudevrouwenhuis het Lam en de Toren
812,Doopsgezind weeshuis bij het Lam en Toren
813,Koninklijke Hollandsche Lloyd
814,Bouwonderneming Jordaan
815,Unie van Watertoeristen
816,Wijnhandel Kempinsky
819,"Genootschap Bevordering Genees-, Heel-, Natuurkunde"
820,Tuingroep De Volharding
821,Stichting Amsterdam Promotion
823,Amsterdamse Federatie van Woningcorporaties
827,Vereniging Ons Huis
831,Koperslagerij Julius Baller en Zoon
834,Heineken
835,Stichting Elisabeth Otter-Knoll
838,Nederlandse Bond Maarten Luther Afdeling Amsterdam
843,ADS
844,Familie Ruhe
846, Stichting Het Amsterdamsche Fonds
847,Woningbouwverereniging De Dageraad
848,Amsterdamse Industrie Vereniging (A.I.V.)
850,Gereformeerde Kerken in Hersteld Verband
852,Electra N.V.
853,Amsterdamsche Omnibus Maatschappij
872,Scheepsjournalen van familieleden Mörzer Bruijns
873,prof. Dr. David van Embden
877,Doopsgezinde Gemeente De Zon
878,Familie Van Herzeele
881,J.M.F. Everling
882,De houthandel Key
883,Dr. S. Hart
885,Centraal Toneel
888,Jan Weggelaar
890,Vereniging voor Jongeren Union
892,Gereformeerde kerk van Diemen-Watergraafsmeer-Bijlmer
893,Amsterdamse Mij. en Levensverzekering 'Amstleven'
894,Vereniging van Christelijke Studenten te Amsterdam
898,Kunstenaarscollectief Kukeleku
899,Vereniging Vakschool
900,Ondernemingsraad Patria Biscuitfabriek
902,Amsterdams Lyceum
903,Middelhoff
905,Initiatief Comité Amsterdam
907,Centraal Genootschap voor Kinderherstellingsoorden
909,Fotokopieën
910,Koninklijke Nederlandse Roeibond
911,Familie Witsen Elias
913,Kamerkring Chr.-Historische Unie Oud A'dam & Centrum
922,Familie Luden
923,Familie De Vries
924,D. Dooijes
925,Hervormde Pedagogische Akademie en rechtsvoorganger
928,Collectie Stadsarchief Amsterdam: begrafenisbriefjes
929,Koninklijke Bijenkorf Beheer
930,Dr. W.J. van Hoboken
931,Dispuut Gezelschap Breero
932,GEMMA
935,Vereniging tot steun verwaarloosden/gevallenen
937,Vereniging voor Doofstommenonderwijs te Amsterdam
939,Vereniging Openbaar Onderwijs en rechtsvoorganger
943,Directeuren Openbaar Middelbaar/Voortgezet Onderwijs
945,Eduard van Beinumstichting
946,Da Costa
949,Kweekschool v.d. Zeevaart
950,Koninklijke Oratorium Vereniging
953,Koning Willemshuis
954,Nederlandse Vereniging voor Montessori-Onderwijs
955,Stichting Experimentele Werkbemiddeling
956,Firma J.H. Uytenbogaardt
958,Firma de Jong en Comp.
959,Toneelgroep Sater
961,Cie Versiering Kalverstraat Kroning Willem III
966,Medisch Opvoedkundig Bureau
970,Maatschappij Nut Israëlieten Nederland
976,Het Nederlandsch Bevrachtingskantoor
977,Metz en Co.
980,J.C.J. Lammers
981,R.J. de Wit
984,Brandweerfonds
986,Architectenbureau De Klerk
989,Stichting voor Opvoeding en Onderwijs A.S.V.O.
991,Familie Delprat
997,Lutherse Diakonessen Inrichting
999,Natuurmonumenten
1001,Algemene Ziekenfonds Amsterdam
1004,Ziekenzorg
1006,Stichting Olympische Spelen Amsterdam 1992
1007,Ds. C. Mulder
1008,Stichting Sociale Opbouw Westelijk Amsterdam
1014,Kas-Vereeniging
1020,UvA: Faculteit Wiskunde e.a.
1023,Technische Unie
1027,Makelaars Assurantiën en Hudig-Langeveldt Groep
1028,Vereniging van Transport-Assuradeuren
1029,Mr. A.Th.E. Kastein
1030,Sociëteit De Koepel
1031,Parochie van de Heilige Martelaren van Gorcum
1034,Tineke van den Klinkenberg
1036,Nederlandse Vrouwenclub Amsterdam
1038,Parochie van de Heilige Augustinus
1040,Stichting Hulp na Onderzoek
1041,Firma Schaap en Citroen
1042,Scheepssmederij Schut en Firma Prohand
1043,T. Groeneweg-Hageman
1045,Stichting Floriade 1982
1046,Prof. Dr. F. De Jong
1047,Vereniging Beth San
1048,Bernhardus Barendsen
1049,Vereniging Vrienden van het Concertgebouw/KCO
1050,De Bruine
1051,Eigendombewijzen Percelen
1052,Tabakshandel Kluijtenaar
1053,Aantekeningen betreffende Armeniërs
1054,Volksuniversiteit Amsterdam
1056,Vereniging Beroepsonderwijs Amsterdam
1057,Gemeentelijke school voor HAVO Zocherstraat
1063,Emma Kinderziekenhuis
1064,Gescher en Kemper
1066,Centraal Israëlietisch Krankzinnigengesticht
1068,Vereniging Het Joodse Begrafeniswezen
1073,Parochie van Vincentius à Paulo
1074,Vereniging Beurs voor den Diamanthandel
1075,Vereniging Amsterdams Bouwfonds
1076,St. Bijz. Noden Doopsgez. Broederschap en daarbuiten
1077,J.B. Janus (Bouwbedrijf Simplicitas)
1079,Vereniging Muzieklyceum
1089,Concertgebouw
1090,"Parochie van Maria, Koningin des Vredes"
1092,Waller Pierson
1094,de Sociëteit het Concertgebouw
1095,Maatschappij Caecilia
1096,Berith Salom
1099,Dr. G.J. Vos Azn.
1103,Elsevier
1104,Juridisch Cultuurhistorisch Dispuut C.R.A.S.
1105,Familie Rutgers van Rozenburg
1109,Amstelhotel
1110,Diamantslijperij Gebroeders Boas
1112,Sociëteit de Kring
1113,"Nederlandse Zionistenbond, met gedeponeerde archieven"
1116,J.L.G. Niessen
1117,"Heuwekemeijer, P.C."
1118,Algemeene Commissie Buitenlandse Noden
1120,Verenigde Doopsgezinde Gemeente
1124,Familie Schöne
1128,Familie Kleine
1131,VVV Amsterdam
1132,Familie Cramer
1136,Parochie van de Heilige Magdalena
1140,Grand Hotel Krasnapolsky
1141,R. de Graaf
1143,RK Vereniging ter Bescherming van Meisjes
1144,Stichting Landelijke Unie van Vrijwilligers
1145,Mannenzangvereniging Apollo
1146,'t Kabouterhuis
1150,Sociale Dienst.B.K.R..-manifestatie Nieuwe Kerk1983
1152,Familie Haas
1153,RK Stichting Verzorgings- en Verpleegtehuis Bernardus
1155,Stichting Maatschappij-Geschiedenis
1156,Port. Gemeente Curacao
1157,Centraal Israëlitisch Weeshuis
1161, Stuurgroep Meningspeiling Leidseplein
1164,A. Heijmans
1168,Stichting Joods Maatschappelijk Werk
1169,Collectie voormalige Melkfabriek in Jan Steenstraat
1179,Firma Hesseling
1180,Firma L.J. Harri
1181,Familie Holtzman
1182,Stichting Behoud en Herstel Czaar Peterbuurt
1183,Don Bosco
1185,Amsterdamse Schoolwerktuinen en rechtsvoorgangers
1186,Stichting Liberaal Joods Onderwijs
1190,"Assurantiebezorgers Wijtman, De Clercq en Warnaars"
1191,Verenigd Cargadoorskantoor
1198,Doopsgezinde Vredesgroep
1201,Geschiedschrijving Toonkunstenaarscentrum Queekhoven
1202, J.D. Koolhaas
1206,FORAM
1208,de Amsterdamse Kring
1209,Stad Radio Amsterdam: geluidsdragers
1210,Stichting Marcel Henri Bregstein
1213,Vereniging 'De Joodse Invalide'
1214,Rooms-Katholieke Kerk Gerardus Majell
1215,Amsterdams Studenten Corps
1221,Ton Koot
1222,Makelaarskantoor Van Voorst
1224,Familie van Eeghen: jongere tak
1226,COC Afdeling Amsterdam
1227,Familie Boele van Hensbroek
1228,Collegium Medicus
1229,  Stichting Dirk van   Nimwegencentrum
1232,Amsterdams Steunpunt Wonen
1236,M.S.B. Belinfante-Dekker
1240,Dr. I. Samkalden
1243,Nederlands Instituut voor Arbeidsomstandigheden
1244,Parochie OLV van Zeven Smarten
1246,Proost en Brandt
1248,Order of Foresters
1250,"Aktiegroep Eén School, Eén Locatie"
1251,Genootschap voor Joodse Wetenschap
1252, J.H. Heijder en M. Heijder
1253,Amsterdamse Vereniging voor Beroepsonderwijs
1257,S.R. de Miranda
1258,Familie Kuiper
1259,Parochie van het Allerheiligst Hart (Vondelkerk
1261,Coöperatieve Bewonersvereniging Marina
