toegangsnummer,titel
30259,doubletten en dequisitie bibliotheek
30264,Salomon Boas
30265,UvA: Faculteit Geneeskunde
30269,Familie Den Tex en Bondt: aanvulling
30272,Collectie Kiezerslijsten
30273,Telefoonboeken
30274,Adresboeken
30276,Projectbureau IJ-tram
30278,Milieudienst Amsterdam
30281,Stichting Behoud Karakter Frederiksplein
30284,Kon. Ned. Zeil & Roeivereeniging
30285,Joods Bejaardencentrum Het Gooi
30288,"UVA, Faculteit der Letteren en voorgangers"
30292,UvA: Faculteit Ruimtelijke Wetenschappen
30293,UvA: Faculteit POW
30299,J. Schipper
30300,Nederlandse Dok- en Scheepsbouw Maatschappij
30301,Broms & Co.
30302,B'nai B'rith
30305,RVE Westpoortbeheer
30309,Notarissen Amsterdam
30315,Redactie Rivierenbuurt Nieuws
30317,Frans J. IJserinkhuijsen
30320,Cuypersgenootschap Afdeling Amsterdam
30322,Marc M. Gravemaker
30323,Jolijn van de Wouw
30324,Nationale Coöperatieve Zuivelverkoopcentrale
30340,Correspondentie t/m 2001
30344,Cafe 't Mandje
30346,Stichting Beheer Mercatorplein
30349,Oud Verpakkingsmateriaal
30351,Familie Kranenberg
30355,Gemeente Amstelveen: Secretarie
30358,GG&GD Amstelveen
30360,College Zeemanshoop
30362,Collectie Martin Monnickendam
30363,Trein 8.28 H.IJ.S.M.
30364,Mandolineorkest Da Capo
30365,S.I. de Vries
30368,"Dienst Advies & Beheer, Afd. Directie & Staf"
30369,Christelijke School Ransdorp
30370,Collectie Amsterdams Stadsblad: foto's
30372,Egodocumenten
30373,CPA
30375,Caraïbische Werkgroep
30378,Familie Eickholt
30379,Lokale Omroep Bijlmer
30381,Studievereniging Machiavelli
30382,Gezelschap van de Stille Omgang
30384,Zwemvereniging De Meeuwen
30389,Collectie Ontwikkeling IJ-oevers
30392,Collectie Gemeente Vervoerbedrijf: dia's tram
30395,Familie Cnoop Koopmans
30396,Erna en Aron Heertje-Kreijmborg
30399,Familie de Graaff
30400,DPG: huisnummerbeschikkingen
30404,Walter Kramer
30410,Familie Wibaut
30416,Stedelijke Woningdienst: dia's
30417,Hervormde Gemeente Amsterdam
30420,Lies Viss
30425,Cacaofabriek L. Prins
30426,Miek Stranger
30427,Collectie H.J. Jongbloed
30431,Willem Springer
30433,Scouting Frankendael
30435,ABC
30436,Collectie Jaap Roele
30437,Metten Koornstra
30440,W.P. Harten Sr. en Familie
30441,Firma Backhuijs
30442,Stadsdeel Osdorp
30446,Collegium Musicum Amstelodamense
30449,Johan H. en Frank Grolle
30454,N. Lansdorp
30455,Amsterdamsche Aero Club
30456,Mannenkoor GETEA
30457,Handel in Scheepsbenodigdheden Wed. S.J. de Vries
30458,Objecten De Bazel
30459,Familie van Hengel
30460,I.A.F. Schöffer
30464,Stedenband Amsterdam-Beira
30466,Familie Poggenbeek
30467,Niet Winnen Toch Lol
30470,Luchthaven Schiphol
30471,Geurt Dijk
30472,Collectie familie Schwirtz
30474,Oudercommissie De Lijsterbes
30476,Familie Boissevain
30477,Woningstichting Eigen Haard
30478,Fridjof van den Berg
30479,Huurdersvereniging De Pijp
30480,Riek Milikowski-de Raat
30481,Willem Brinker
30483,"Huisbrand Unie, Schildpad Kolen"
30485,GOVV: Nellestein & Sarphatihuis
30487,"Meerlingen, Herkomst en Beroepen in DTB"
30489,Ateliers Winkelman
30491,Familie van Lennep
30494,Herkomstplaatsen en Beroepen in Poorterboeken
30495,Families Pos en Van der Sleesen
30496,GG&GD: bevrijdingskinderen
30498,Schellekens' Borduur- en Plisseeratelier
30500,P. Leibbrand
30503,Drentse Vereniging Amsterdam
30504,Collectie Stichting IJbeeld: films
30506,Vereniging tot Verspreiding van Bloemen
30507,Herdenkingen van de SLM-ramp
30509,Gemeente Ouder-Amstel
30510,Publieke Werken Opmetingstekeningen 1942-1944
30512,Vereniging tot Behoud van Natuurmonumenten
30514,Stichting De Posthoorn
30515,Educatief Centrum Interreligieuze Dialoog
30516, Prijsvraag Herinneringen aan de Spaarndammerbuurt
30518,Familie Splinter
30522,Han Hoogewoud
30524,Derde Montessorischool
30525,Collectie Kenniscentrum: statistiek
30526,Collectie Commerciële Film- en Videoproducties
30527,J. de Moor
30528,GCEI
30530,Amsterdam Anders/De Groenen
30532,Collectie Van Eikeren
30533,Hinderwet- en brandweervergunningen
30536,Watergraafsmeer
30537,Dienst Ruimtelijke Ordening: dia's
30539,Familie van Eijk
30541,Reinder Repko
30549,Jan & Johan Christiaan van Dijk
30550,GRAM
30554,F. Christoffels
30555,Humanistisch Verbond Amsterdam
30557,Henk J. Rotgans
30558,Witte Kruis Afdeling Ransdorp
30564,Collectie Ed van Thijn
30565,KNSM
30567,Stichting Luchttunnel
30569,UvA: Faculteit Pre- en Protohistorie
30572,Utrechts Nieuwsblad: foto's
30573,Evangelisch-Lutherse Gemeente Diakonie
30575,Wil Bertheux
30576,Collectie Tentoonstellingen
30578,Collectie Topografie
30579,Collectie Personalia
30580,Collectie Stadsarchief Amsterdam: kunst
30581,Collectie Sport
30582,Handel en Nijverheid
30583,Collectie Koninklijk Huis
30584,Collectie Stadsarchief Amsterdam: Vlugschriften
30586,Collectie Stadsarchief Amsterdam: Onderwijs
30587,Collectie Stadsarchief Amsterdam: Uitvoerende kunsten
30588,Collectie Stadsarchief Amsterdam: Religie
30589,Gezondheidszorg
30590,Collectie Toerisme
30592,Collectie: aanwinsten klein materiaal
30598,Analoge toegang bibliotheek
30599,Collectie Koninklijk Theater Carré
30600,Herman van den Eerenbeemt
30601,Johan Briedé
30603,Projectbureau Bodem
30607,Stadsdeel Oost (SU): BWT-dossiers
30608,Collectie Waldo van Suchtelen
30610,St. Doopsgezinde Vrouwenzendingshulp
30611,Gerda Brian
30612,UvA: Geologie
30614,Collectie Hans Olsthoorn
30615,Dekenaat Amsterdam
30617,Collectie Thuiseten
30619,Collectie De Rietvoorn
30620,Collectie A.G. Mulder
30621,Collectie Ies Jacobs
30622,Henk Langeveld
30624,VVD Fractie Stadsdeel Oud-West
30626,Collectie 't Woonhuys
30628,Nederlandse Vereniging voor Psychoanalyse
30629,Wethouder A. in 't Veld
30630,Hervormde Wijkgemeente Osdorp-Sloten
30633,Vroom & Dreesmann
30634,Familie Vroom
30636,Collectie J. Th. Scheltema
30637,Raad voor Levensbeschouwingen en Religies
30639,Diederick van Kleef
30641,Notaris Ouder-Amstel
30642,Notarissen ter Standplaats Amsterdam
30643,Collectie M. van der Made-Yuen
30644,Collectie H.W.J. Everts
30645,Stadsdrukkerij
30646,Dienst O+S
30647,Hoyman & Schuurman's Scheepsagentuur
30648,Dienst Ruimtelijke Ordening
30651,Familie Citroen en Alex Citroen
30653,Naaimachinefabriek Leeuwenstein
30654,Familie Josephus Jitta
30655,Imagine IC
30656,Isaac Baruch
30658,Sint Franciscus Liefdewerk
30660,Amsterdamse Planologische Commissie
30661,Christelijke Gymnastiek Vereniging Het Funen
30662,Maschmeijer
30663,Collectie Wij maken Geschiedenis!
30664,J.H.M. van Loon
30665,Amsterdam Hospitality Program
30666,Stadsdeel Oost
30667,Stadsdeel Watergraafsmeer
30668,Stadsdeel Oost-Watergraafsmeer
30669,Stadsdeel Zeeburg
30670,Collectie Firma L. Dake & Zoon
30672,Collectie Hildo Krop
30673,Collectie Films Nieuw-West
30679,Groen Bijlmermeer
30681,Bert Nienhuis
30682,Coll. Rijksdienst voor het cultureel erfgoed
30686,Wijkorgaan Osdorp
30689,H.A. Boon
30693,Gemeente Amstelveen: Secretarie
30694,Gemeente Amstelveen: Dienst Cultuur
30697,Dienst Gemeentewerken Amstelveen
30699,Dienst Openbare Werken Amstelveen
30702,Melkveehouderij Frederik Jan Swart
30703,Collectie Jacob de Vries
30704,Vakschool tot Opl. van Verkoopsters en Ind.naaisters
30705,Stedelijke woningdienst
30706,Willem Koller
30707,Stichting Info Buitenland Oud West
30708,Collectie Jan Ponstijn
30711,Firma Zeehandelaar
30712,Stadsdeel Noord
30713,Dienst der Gemeentebelastingen
30714,Dienst Binnenstad
30715,Dienst Ruimtelijke Ordening
30716,Amsterdamse Planologische Commissie
30717,E.C. Straatsburg
30718,Esther Petronella d'Ailly: dagboekaantekeningen
30720,Stichting Podium Kwakoe met rechtsvoorgangers
30722,Amsterdams Studenten Corps ASC/AVSV
30724, Coöperatieve Tuindersveilingsvereniging
30726,Buurtcentrum Het Fijnhout
30729,Emmy Rutten-Broekman
30730,J.A. Stofkoper: Bureau Amsterdam 700
30731,Familie Tetrode
30732,Dispuutgezelschap I.D.O.E.N.A.
30733,Vogelwerkgroep Amsterdam
30734,Jos de Lange Wendels
30735,Familie De Waal-Schotsman
30736,Veilinghuis De Zon
30740, Theater De Kleine Komedie
30741,Collectie Gijs Six
30742,Johannes Petrus Frerig
30746,Ton Meijer
30778,MAI: Collectie Sem Presser
30781,MAI: Collectie Jutka Rona
30797,Collectie In Memoriam
30798,Collectie E.C. Jarvis
30801,Stichting Amsterdam Tourist Assistance Service
30802,ANDPV
30803,Collectie Het Grachtenboek
30804,Amsterdams Fonds voor de Kunst
30805,Stichting Onderwijs Buitenlanders
30806,Familie Wertheim
30808,Familie Oestreicher
30813,Wijkopbouworgaan Rivierenbuurt
30814,Stichting Amsterdams Oecumenisch Centrum
30815,Harry Meijer
30816,O.M. Visser
30817,J.C. Teunisse
30818,Ziekenhuis Amsterdam Noord
30819,A.H. Gerhardhuis
30820,Collectie Frederik Beerbaum
30822,Centrum voor Beeldende Kunst
30823,Collectie van de Familie Ossendrijver
30826,Dansinstituut Oostervink: foto's
30827,Collectie kermis- en nieuwjaarswensen
30828,Familie en Firma Koster
30829,Stadsdeel Zuideramstel
30830,Stadsdeel Buitenveldert
30831,Stadsdeel De Pijp
30832,Stadsdeel Oud-Zuid
30833,Stadsdeel Rivierenbuurt
30834,Stadsdeel Zuid
30836,Collectie Grevenstuk
30837,Collectie Pleinen van Amsterdam
30838,Koninklijk Oudheidkundig Genootschap
30842,Claudie Crommelin
30843,UvA: Zoölogisch Museum Amsterdam
30844,Familie Kamp
30845,Carl Denig
30848,Sally Polak's Ind.- en Handelmaatschappij
30851,Collectie Martin Melchers: dia's
30852,Herman A. Dommisse
30853,Steenhouwerij Van Tetterode
30854,Figaro Pasquale
30855,Gerard Venker
30856,Stichting Museum Suriname
30857,Coll. R. Hesse Ontwikkeling Weesperzijdestrookbuurt
30859,Herinneringen aan de Bazel
30861,Koninklijke Christelijke Oratorium Vereniging
30862,Collectie Theo Bieshaar
30864,Koninklijk Theater Carré
30866,Collectie G.W. van Slooten
30867,Collectie Kenniscentrum: audiovisueel materiaal
30868,S.B. Bartlema
30870,Collectie Cock Horn
30872,Familie Tosch
30874,Registratiecommissie Amsterdam
30875,Collectie Louis Meijer: scheepswerven
30876,Architectenbureau Verbruggen & Goldschmidt
30877,J. IJzerman fonds
30878,Familie Mörzer Bruijns
30880,Amsterdams Historisch Museum
30882,Beeldarchief woningstichting Eigen Haard
30883,Cor Jaring
30884,Familie Glerum
30885,Projectbureau Noordwaarts
30886,Stichting De Oude Kerk
30887,Collectie J. Wijngaarden
30888,Vereeniging Weldadigheid Allerheiligsten Verlosser
30889,Bestuurlijk Overleg Stadsdelen
30891,GG&GD: Biologisch Chemisch Laboratorium
30893,Stichting Literaire Activteiten A'dam
30894,Poelman-Versluys
30895,"Weesperkarspel, bouw- en woningtoezichtdossiers"
30896,Stadsbank van Lening
30897,Collectie H.H. van den Ham
30899,Collectie Jan Bosman
30900,Welsuria
30901,Familie Gulden-Dutry
30902,Familie Bakker Korff
30903,Registratiecommissie Amsterdam
30904,Sociale Dienst: cliëntendossiers
30905,Berichtgeving Gemeente Amsterdam WOI
30906,Politiek Platform Binnenstad
30907,Felix Meritis
30909,Vrije Evangelische Gemeente
30911,Egbert Jean Koch
30912,Capital Press
30914,Zesde Montessorischool
30917,Hans Borkent
30918,Cor Jaring: corporalia
30920,DMB  en rechtsvoorgangers: bodemdossiers
30921,Gemeentelijke Accountantsdienst
30922,Vertrouwenscie vacature burgemeester
30923,Huize van der Woude
30924,Gemeentelijke Kredietbank
30927,Boekbinderij Kusters
30929,Dienst Maatwerk
30931,Collectie Monumentenzorg: negatieven
30932,Wim van Beek en Wout Spies
30934,Collectie Familie Alphons Diepenbrock
30935,Collectie T.A.B.A. tentoonstelling
30936,Secr.Hoofd-Afdeling Economische Zaken
30937,Bewoners aan het Stuur Dapperbuurt
30938,Collectie Kuyt en Lagrillière
30940,Projectbureau Vernieuwing Bijlmermeer
30941,Gemeentelijk Havenbedrijf
30942,Gemeentelijk Havenbedrijf
30943,Haven Amsterdam
30944,Amsterdam Logistics Group
30945,Amsterdam Port Consultants
30946,Centraal Nautisch Beheer
30947,Stichting Ecoports
30948,Vereniging van Havenmeesters
30949,Brandweer Amsterdam
30950,Firma H. van Marselis Hartsinck
30951,J. Leupen
30953,Tim Killiam
30954,Vereniging Bevordering Christelijk Onderwijs
30955,TrouwAmsterdam
30956,Nederlands Blazers Ensemble
30957,Bureau Stadhuis/Muziektheater
30958,Kandidatuur Olympische Spelen 1992
30959,H. Raasveld
30960,Gemeentelijk Grondbedrijf
30961,Bureau Amsterdam 700 jaar
30964,Collectie Klaar.... Over!
30967,Monumentenzorg: tekeningen Zantkuijl
30969,Aannemingsbedrijf Rozestraten: foto's
30970,Douwe Douwes
30971,C.W. Mandersloot
30972,Rekenkamer Amsterdam
30974,Familie Van Eys
30976,Kantorencomplex Aurora
30977,Familie Blaauw
30978,Stadsdeel Noord
30980,Huurcommissie Amsterdam
30982,Collectie Teunis van Breevoort
30984,GISAR
30985,Familie Charles
30988,Collectie Co van Poorten
30989,Familie Wileumier
30990,Stadhuisdienst
30991,Collectie Februaristaking
30992,Willy La Croix
30993,Sint Johannes de Doperkerk
30997,Dolf Toussaint
30999,Sint  Johannes de Doperkerk
31001,Jules Loszynski
31002,Pieter Nieuwland College
31005,Van Geels & Co
31007,D. Birnbaum & Co. Algemene Producten Compagnie
31008,Architectenbureau Jowa
31010,Centraal Secretarie Archief
31012,Collectie Tweede Wereldoorlog
31014,Clara Rosa Groen
31015,El Hizjra
31020,Familie Bakhuis
31021,Collectie Noord-Zuid Hollands Koffiehuis
31028,Science Center NEMO
31030,Collectie Voordrachtwedstrijden
31035,van Wijndelt en Nipperus
31040,Voetbalvereniging Goldstar
31042,Amsterdams 4 en 5 Mei Comité
31043,Stadsdeel Centrum (SA): BWT-dossiers
31044,Stichting Amsterdam Schoon
31045,Collectie Jos van Ravenstein
31046,Collectie familie Wolterman
31048,Fonds 1815
31052,Jan Mammen
31057,Stadsdeel Nieuw-West (SQ): BWT-dossiers
31058,Stadsdeel Zuid (SW): BWT-dossiers
31065,Het Surinaams Verbond
31073,Projectgroep Westergasfabriek
31075,Stadsdeel De Baarsjes
31097,Projectgroep Oostelijke Binnenstad
31101,Fons Vitae Lyceum
31103,Stukken van of betreffende kerken en kloosters
31106,R. Scholtemeijer & C.J. Stappers
31110,Collectie Marthe Antoine Gérardin
31112,Jenny Wesly
31113,Ger Hali
31117,Total Design
31118,Collectie Sybrand Hekking
31120,Hotel Die Port van Cleve
31121,Centraal Brouwerijkantoor
31129,Condoleances Burgemeester van der Laan
31131,Societeit Onder Ons
31133,Stadsdeel West (SJ): BWT-dossiers
31134,Afval Energie Bedrijf
31136,Stadsdeel Noord (SN): BWT-dossiers
31140,Maatschappij tot Nut van ’t Algemeen
31141,Gerrit Jan van der Veen
31142,Herman van der Heide
31147,Nederlands Spiritueel Kerkgenootschap
31150,Marianne Walter
31151,R.W. Hollenkamp en J.G. Holl.-Spangenberg
31154,Gemeentelijke Electriciteitswerken
31158,Roomsch Catholijk Oude Armen Kantoor (RCOAK)
31161,Jaap Kaas
31162,G. Mahlstedt en C.M. Sargenton
31164,Willem Duveen
31166,Kees Kef
31168,Collectie John Philips
31171,Lafour & Wijk
31173,Jongeren Advies Centrum (JAC)
31176,Eberhard van der Laan: afkomstig uit Ambtswoning
31177,Familie Rübsaam
31179,Collectie Bettie Ringma en Marc Miller
31181,Slotervaartziekenhuis
31182,CTA: Bouwtekeningen en Kaarten
31183,Stadsbank van Lening
31186,Circus Elleboog
31187,Regionaal Orgaan Amsterdam
31188,Artis
31190,Elly Jaffé
31192,Stichting IJbeeld
31194,GG&GD: Sector VGZM
31197,LFDZ
31198,Collectie I am G en Z
31200,Kabinet van de Dames
31201,Familie Benima
31202,Stichting Adriaan Blok
31208,Projectbureau Zuidas
31209,Firma Hope & Co.
31212,Firma C.G.Sieben en Co
31214,Vacaturecommissie burgemeester 2018
31216,Firma E.F. Eden
31217,Jan Juffer
31227,MAI: Collectie Joost Guntenaar
31230,Zaanen Spanjers Architecten
31231,Collectie Matthijs Blonk
31232,A.C. van Eck
31233,Hans Hagenbeek
31234,Ouderencentrum De Coenen
31236,Oey Tjeng Sit
31237,N.V. de Beursdrukkerij
31238,Projectbureau Ijburg
31240,Vrije Universiteit: College van Directeuren
31241,Vrije Universiteit: College van Curatoren
31242,VUvereniging
31243,Vrije Universiteit: Faculteit der Godgeleerdheid
31246,Bureau Voorlichting: foto's
31247,Secretarie: Bestuurlijke en Juridische Zaken
31252,Secretarie: Voorlichting en Externe Betrekkingen
31253,"Secretarie Afdeling Cultuur, Educatie en Recreatie"
31260,Secretarie: Bureau Personeel en Organisatie
31264,Secretarie Hoofdafdeling Bedrijven
31267,Coronacrisis (COVID-19)
31274,Liberaal Joodse Gemeente
31279, Vereniging Limburgia
31280,Adviesraden Minderhedenbeleid
31284,Evangelische-Lutherse Gemeente Amstelveen
31289,Het Henriëtte Hofje
31299,Vrije Universiteit: Senaat
31303,Bestuursdienst Amsterdam
31305,Collectie Herman Meerman en Chris Hahn
31308,Majoor Bosshardt
31310,Stichting De Eenzame Uitvaart
31316,Amsterdamse Kunstraad
31317,GGD: Bureau Alleenstaande Ouders
31321,Familie Arink
31323, Firma Kerkhoven & Co
31331,VU. Faculteit Sociale Wetenschappen
31332,Projectbureau Piet Heintunnel
31333,Sophie Duparc
31335,LTC Festina (Tennisvereniging)
31337,A Paper Monument for the Paperless
31347,Hans Bosch
31348,Collectie herdenking Peter R. de Vries
31352,Gemeenteraad
31357,Pieter Perdijk
31362,Dienst Ruimtelijke Ordening
31363,Amsterdamse Planologische Commissie
31371,Belangenbehartiging van Betrokkenen Bijlmerramp
31375,Gemeenteblad
31379,Familie Camozzi
31384,Gust de Wit
31385,Omroep Bellissima
31390,Boris Roos
31391,A.J. van Helden
31392,Gemeente Ouder-Amstel Vertrouwenscommissie 2002-2003
31393,Gemeente Ouder-Amstel Vertrouwenscommissie 2007
31394,Gemeente Ouder-Amstel Raadscommissie herbenoeming
31398,GEB: foto's
31399,Gemeente Ouder-Amstel: milieudossiers
31401,Familie Höweler
31403,Vrije Universiteit College van Decanen
31406,Familie Dull
31411,Reinwardt Academie
31421,Stadsarchief
31422,Collectie Foto's Schepenzegels
31423,Algemene Maatschapppij van Levensverzekering
31425,Stichting Drugspastoraat
31429,Stichting Magenta
31430,Familie Gebhard
31444,Amsterdams Comite vluchtelingenjaar
31445,het Fontainehofje
31447,Prins Bernhard Cultuurfonds
31449,Cold Case Team Anne Frank
31452,Buurtarchief Bijlmermeer
31455,Collectie Büttinghausen
31468,Familie Spliethoff
31470,"dr. Vouteschool, voorheen school nummer 1910"
31471,Ingebonden Dienstverslagen vanaf 1918
31474,Kledingwinkel De Mof
31486,ARCAM
31497,Cephas Stauthamer en Josje Smit
31544,Archief van de Dienst Belastingen
41434,Vrouwen v. Ravensbrück
43325,test
50000,GAWO43-01
50001,Weesp Bodemonderzoeken
70047,Migranten Televisie
70050,Duplicaatcollectie 20009: dvd's
70051,Duplicaatcollectie 20009: digi beta's
70053,Duplicaatcollectie project Oorlog in Blik: dvd's
70054,Duplicaatcollectie AV dragers: raadpleegex.
70055,Duplicaatcollectie project Oorlog in Blik: digibeta's
70056,Duplicaatcollectie 30673: betacam en dvd's
70058,Duplicaatcollectie 30110: dvd's
70060,Duplicaatcollectie 30504 St. IJbeeld: leveringsex.
70061,Duplicaatcollectie 30504 St. IJbeeld: raadpleegex.
70062,Duplicaatcollectie 30504 St. IJbeeld: zichtkopieën
70064,Duplicaatcollectie 30673 Nieuw West: raadpleegex.
309993,Sint Johannes de Doperkerk
331182,DOW/CTA: Bouwtekeningen en Kaarten
20181016,Voorbeeld: Hoe etiketteer je met A en B etc.
10009A,"DRO: foto's, Afd. A"
10109B,Collectie Stadsarchief Amsterdam: affiches serie B
1054AV,Archief van de Volksuniversiteit Amsterdam: audiovisueel materiaal
1056AV,Archief van de Maatschappij voor den Werkenden Stand: films
1056FO,Archief van de Vereniging Beroepsonderwijs Amsterdam en rechtsvoorgangers: foto's
1120A,Archief van Verenigde Doopsgezinde Gemeente van Amsterdam en rechtsvoorgangers: aanvulling
1131AV,Archief van de Vereniging voor Vreemdelingenverkeer Afdeling Amsterdam: audiovisueel materiaal
1131FO,Archief van de Vereniging voor Vreemdelingenverkeer Afdeling Amsterdam: foto's
1161AV,"Archieven van de Stuurgroep Meningspeiling Leidseplein, de Sichting 'Bouw-es-wat-anders'"
1165AV,Archief van het Burger Ziekenhuis: audiovisueel materiaal
1209AV,Archief van Radio Stad Amsterdam (Stichting Amsterdamse Draadloze Omroep): geluidsdragers
123456TEST,Archief van Sinterklaas (oefenarchief)
1236AV,Archief van M.S.B. Belinfante-Dekker: geluidsdragers
1248AV,Archief van de Ancient Order of Foresters: films
1252AV,Archief van M. Heijder: films
1315BT,Archief van G.B. Salm en A. Salm GBzn.: bouwtekeningen
1320AV,Archief van het Gezelschap van de Stille Omgang te Amsterdam: audiovisueel materiaal
1336A,Archief van het Amsterdams 4 en 5 Mei Comité: aanvulling
1365AV,Archief van de Stichting Ziekenomroep RANO: audiovisueel materiaal
1392AV-1,Algemene collectie audiovisueel materiaal
1392AV-1,Collectie Stadsarchief Amsterdam: algemene collectie audiovisueel materiaal
1392AV-2,Collectie Stadsarchief Amsterdam: eigen producties audiovisueel materiaal
1407AV,Archief van het Nederlands-Israëlitisch Kerkgenootschap: video's
172A,Archief van de Familie Backer en Aanverwante Families: aanvulling
184FO,Archief van de Familie Van Eeghen: foto's
195A,Archief van de Familie Bicker en Aanverwante Families: aanvulling
202BT,Archief van R.F.G. Nieuwenhuys: bouwtekeningen
213WYK,Archief van de Evangelisch Lutherse Gemeente te Amsterdam Wijkvereniging Wijk 1
214A,Archief van de Evangelisch-Lutherse Kerk in het Koninkrijk der Nederlanden Diakonale Raad
214B,Archief van de Vereniging Centraal Luthers Weeshuis
259A,Archief van E.C.J. Staal
267A,Archief van de Stadsschouwburg: aanvulling
279A,Archief van de Universiteit van Amsterdam College van Curatoren: aanvulling
300A,Archief van de Scheepstimmerwerf Het Kromhout en de Kromhout Motoren Fabriek D. Goedkoop Jr. N.V.
31165A,Archief van de projectorganisatie aanleg Noord/Zuidlijn en rechtsvoorgangers
31245A,Archief van de gemeente Amsterdam: Wob/Woo-besluiten
31286A,Inventaris van het Archief van Directie Ingenieursbureau: historische bodemonderzoeken
31291A,Archief van Stadsdeel Centrum: omgevingsvergunningen
31292A,Archief van Stadsdeel Noord: omgevingsvergunningen
31304A,Test archief voor de Bouw- en Woningdossiers van Gemeente Amstelveen
31353A,"Archief van de Gemeenteraad, 2005-2020"
31374A,"Archief van het College van Burgemeester en Wethouders, 2005-2019 (Andreas 1)"
334A,Portugees-Israëlietische Gemeente: aanvulling
334A,Archief van de Portugees-Israëlietische Gemeente: aanvulling
336NA,Zunderdorp en Nieuwendam
336NA,Archief van de Gemeente Nieuwendam: nieuw archief
351KA,Archief van de Duinwater Maatschappij: kaarten
367A, Burgerweeshuis: oud archief
367A,Archief van het Burgerweeshuis: oud archief
367B,Archief van het Burgerweeshuis: oud archief (appendix)
367BP,Archief van het Burgerweeshuis: oud archief (boedelpapieren)
367C,Archief van het Burgerweeshuis: nieuw archief
368A,Archief van de Bank van Leening: eerste aanvulling
368B,Archief van de Bank van Leening: tweede aanvulling
368FO,Collectie van de Stadsbank van Lening: foto's
376AV,Archief van de Bijzondere Kerkenraad Commissie Tenach en Evangelie
376M,Archief van de Kerkenraad van de Nederlandse Hervormde Gemeente te Amsterdam Ministerie
377A,Hervormde Gemeente: eerste aanvulling
377A,Archief van de Hervormde Gemeente: eerste aanvulling
377AAN,Archief van de Hervormde Gemeente: tweede aanvulling
378A,NL. Herv. Gem. te Amsterdam Kerkvoogdij: aanvulling
378A,Archief van de Nederlandse Hervormde Gemeente te Amsterdam Kerkvoogdij: aanvulling
378AK,Archief van de Amstelkerk
378BA,Archief van de Bachzaalgemeente
378BC,Archief van de Nederlandse Hervormde Gemeente te Amsterdam: Bouwcommissie
378BTK,Archief van de Bethlehemkerk
378EK,Archief van de Eilandskerk
378ELT,Archief van de Elthetokerk
378KK,Archief van de Koepelkerk
378MAK,Archief van de Maranathakerk
378MOR,Archief van de Wijkvereniging Moria
378MUK,Archief van de Muiderkerk
378NK,Archief van de Nieuwe Kerk
378NOK,Archief van de Noorderkerk
378NZK,Archief van de Nieuwezijds Kapel
378OK,Archief van de Oude Kerk
378OOK,Archief van de Oosterkerk
378ORK,Archief van de Oranjekerk
378OVK,Archief van de Overtoomkerk
378OZ,Archief van de Oudezijds Kapel
378PRI,Archief van de Prinsessenkerk
378SA,Archief van de Saronkapel
378SCH,Archief van de Hervormde Gemeente Kerkvoogdij: stukken betreffende scholen
378WEL,Archief van de Wijkvereniging Eltheto
378WK,Archief van de Westerkerk
378WZK,Archief van de Willem de Zwijger Kerk
378ZK,Archief van de Zuiderkerk
378ZUK,Archief van de Zuidwijk Kapel
379A,de Nederlandse Hervormde Kerk Classis Amsterdam
379A,Archief van de Nederlandse Hervormde Kerk Classis Amsterdam Zendingscommissie Classis Amsterdam Zendingscommissie
382AV,Archief van Mr. G. van Hall: audiovisueel materiaal
395.BT,Artis: bouwtekeningen
395AV,Archief van het Koninklijk Zoölogisch Genootschap Natura Artis Magistra: films
395BT,Archief van het Koninklijk Zoölogisch Genootschap Natura Artis Magistra: bouwtekeningen
398KA,Archief van de Gemeente Weesperkarspel: kaarten
435AV,Archief van de Parochie van de Heilige Willibrordus buiten de Veste:  audiovisueel materiaal
458A,"Archief van de Commissie voor het Stadsschoon, : eerste aanvulling"
458B,"Archief van de Commissie voor het Stadsschoon, : tweede aanvulling"
458C,"Archief van de Commissie voor het Stadsschoon, : derde aanvulling"
465A,Archief van het Geneeskundig Bureau voor Distributie
479A,Archief van de Centrale Choleracommissie
482A,Archief van de Amsterdamsche Choleracommissie 1867
483A,Begraafregister van De Nieuwe Oosterbegraafplaats
483B,Archief van Begraafplaats Huis te Vraag
488A,Archief van het Rooms-Katholiek Maagdenhuis en Sint Nicolaas Gesticht: eerste aanvulling
488B,Archief van het Rooms-Katholiek Maagdenhuis en Sint Nicolaas Gesticht: tweede aanvulling
488C,Archief van het Rooms-Katholiek Maagdenhuis en Sint Nicolaas Gesticht: derde aanvulling
5001BYL,"Archief van de Bevolkingsregistratie in de Bijlmermeer: doop-, trouw-, en begraafboeken"
5001KOP,"Archief van de Burgerlijke Stand: collectie kopieën van doop-, trouw-, en begraafboeken"
5039KA,Archief van de Thesaurieren Ordinaris: kaarten
5074A,Archief van de Rechtbank van Amsterdam en van de Rechtbank van Eerste Aanleg Parket van Officieren: aanvulling
5076BKS,Archief van de Notarissen ter Standplaats Buiksloot
5076NWD,Archief van de Notarissen ter Standplaats Nieuwendam
5076RSD,"Archief van de Notarissen ter Standplaats Ransdorp, Durgerdam en Schellingwoude"
5076SLO,Notarieel Randsdorp
5076SLO,Archief van de Notarissen ter Standplaats Sloten
5076WGM,Archief van de Notarissen ter Standplaats Watergraafsmeer
5079KA,Archief van de Gemeenteraad: kaarten
